                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.47038,                0.43499,                 1.0452,                0.88225,                0.80403,                0.85402,                0.73213,                0.67022,                0.76329,                 1.2227,             0.00015062,             0.00015062,             0.00015062
                    118,                0.46472,                0.42625,                  1.034,                0.87824,                0.80757,                0.84807,                0.72998,                0.67103,                0.78651,                  1.224,              0.0001465,              0.0001465,              0.0001465
                    119,                0.46735,                0.43018,                 1.0431,                0.89618,                0.80845,                 0.8527,                0.73453,                0.66079,                0.76814,                 1.2168,             0.00014237,             0.00014237,             0.00014237
                    120,                 0.4642,                  0.426,                 1.0353,                 0.8909,                0.80315,                0.84867,                0.72847,                0.66314,                0.78369,                 1.2192,             0.00013825,             0.00013825,             0.00013825
                    121,                0.46277,                0.41963,                 1.0367,                0.88119,                0.80682,                0.85134,                0.72762,                0.66376,                0.78822,                 1.2162,             0.00013413,             0.00013413,             0.00013413
                    122,                0.46394,                0.42502,                 1.0421,                 0.9029,                0.79261,                0.84837,                0.72905,                 0.6701,                0.80836,                 1.2169,                0.00013,                0.00013,                0.00013
                    123,                0.45491,                 0.4185,                   1.03,                0.87611,                0.80482,                0.85471,                0.73292,                0.67586,                0.78769,                 1.2224,             0.00012588,             0.00012588,             0.00012588
                    124,                 0.4616,                0.42259,                 1.0313,                0.88817,                0.80767,                0.85473,                0.73412,                0.66905,                0.80253,                 1.2184,             0.00012175,             0.00012175,             0.00012175
                    125,                0.45303,                0.41313,                 1.0326,                0.87955,                0.81765,                0.85692,                0.72875,                0.67462,                0.78612,                 1.2197,             0.00011763,             0.00011763,             0.00011763
                    126,                0.45298,                0.41636,                 1.0296,                0.88968,                 0.8044,                0.85199,                0.72538,                0.66645,                0.78332,                 1.2118,              0.0001135,              0.0001135,              0.0001135
                    127,                0.44544,                 0.4152,                 1.0295,                0.87858,                0.82135,                 0.8566,                0.73485,                0.66513,                0.78084,                 1.2196,             0.00010937,             0.00010937,             0.00010937
                    128,                0.44427,                0.40643,                 1.0308,                  0.901,                0.80675,                0.85637,                0.73342,                0.66294,                0.78792,                 1.2144,             0.00010525,             0.00010525,             0.00010525
                    129,                0.45249,                 0.4063,                 1.0321,                0.88583,                0.81902,                0.85895,                0.73354,                0.66998,                0.78248,                 1.2167,             0.00010113,             0.00010113,             0.00010113
                    130,                0.44959,                0.40937,                 1.0297,                0.87476,                0.81628,                0.85485,                0.73241,                0.67289,                0.78643,                 1.2233,                9.7e-05,                9.7e-05,                9.7e-05
                    131,                0.45085,                 0.4057,                 1.0206,                0.86758,                0.81853,                0.85409,                0.72814,                0.67058,                0.77276,                 1.2254,             9.2875e-05,             9.2875e-05,             9.2875e-05
                    132,                0.43977,                0.39587,                 1.0168,                0.87694,                0.80676,                0.85166,                0.72958,                0.66566,                0.77759,                 1.2273,              8.875e-05,              8.875e-05,              8.875e-05
                    133,                0.43109,                0.39687,                 1.0228,                0.89148,                0.80902,                 0.8589,                0.73586,                0.65557,                 0.7736,                 1.2202,             8.4625e-05,             8.4625e-05,             8.4625e-05
                    134,                0.43559,                0.40104,                  1.024,                0.87986,                 0.8161,                0.85668,                0.73731,                0.65511,                0.78342,                 1.2175,               8.05e-05,               8.05e-05,               8.05e-05
                    135,                0.43151,                0.39177,                 1.0148,                0.88228,                 0.8039,                0.85423,                0.73386,                0.65492,                0.76963,                 1.2106,             7.6375e-05,             7.6375e-05,             7.6375e-05
                    136,                0.43736,                0.39117,                   1.02,                0.88263,                0.80003,                0.85283,                0.73368,                0.66405,                0.77609,                 1.2193,              7.225e-05,              7.225e-05,              7.225e-05
                    137,                0.42765,                 0.3799,                 1.0197,                0.87671,                0.80448,                0.85535,                0.73306,                0.66413,                0.77986,                 1.2225,             6.8125e-05,             6.8125e-05,             6.8125e-05
                    138,                 0.4319,                0.38798,                 1.0138,                0.88042,                0.80681,                0.85597,                0.73509,                 0.6641,                0.77032,                 1.2228,                6.4e-05,                6.4e-05,                6.4e-05
                    139,                0.42903,                0.38865,                 1.0186,                0.87769,                0.80849,                0.85531,                0.73485,                0.65935,                0.77103,                 1.2247,             5.9875e-05,             5.9875e-05,             5.9875e-05
                    140,                0.43039,                0.37937,                 1.0175,                0.87098,                0.81388,                0.85487,                0.73661,                0.65372,                0.76607,                 1.2167,              5.575e-05,              5.575e-05,              5.575e-05
                    141,                0.30683,                0.26555,                0.92376,                0.89851,                0.79456,                 0.8497,                0.72724,                 0.6673,                 0.7755,                 1.2265,             5.1625e-05,             5.1625e-05,             5.1625e-05
                    142,                0.30047,                0.25835,                0.92892,                0.89104,                0.80411,                0.84948,                0.72741,                0.66879,                0.77556,                 1.2319,               4.75e-05,               4.75e-05,               4.75e-05
                    143,                0.29218,                0.25025,                0.90881,                 0.8958,                0.80458,                 0.8475,                 0.7297,                0.65661,                0.76541,                 1.2249,             4.3375e-05,             4.3375e-05,             4.3375e-05
                    144,                 0.2866,                0.24904,                0.90798,                0.89353,                0.80715,                0.84821,                0.73419,                0.64965,                0.77351,                 1.2165,              3.925e-05,              3.925e-05,              3.925e-05
                    145,                0.28303,                0.23844,                 0.9059,                0.89216,                0.80641,                 0.8479,                0.72942,                0.64958,                0.77556,                 1.2148,             3.5125e-05,             3.5125e-05,             3.5125e-05
                    146,                0.28701,                  0.244,                 0.9108,                0.90319,                0.80892,                0.85181,                0.73364,                0.64827,                0.77225,                 1.2167,                3.1e-05,                3.1e-05,                3.1e-05
                    147,                0.27701,                0.23356,                0.91085,                0.88393,                0.81485,                0.85046,                0.73459,                 0.6448,                 0.7673,                   1.22,             2.6875e-05,             2.6875e-05,             2.6875e-05
                    148,                0.28031,                0.24145,                0.91141,                0.88609,                 0.8122,                 0.8492,                0.73538,                0.64611,                0.77367,                 1.2199,              2.275e-05,              2.275e-05,              2.275e-05
                    149,                0.27753,                0.23529,                0.90423,                 0.8882,                0.80967,                0.84927,                0.73512,                0.64719,                0.77717,                 1.2213,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    150,                0.26983,                0.22886,                0.89941,                0.90679,                0.79625,                 0.8496,                0.73684,                0.64538,                0.77217,                 1.2196,               1.45e-05,               1.45e-05,               1.45e-05
